,snapshot,component_pv,fieldtype_pv,field_pv,value_pv,mode_pv,component_load,fieldtype_load,field_load,value_load,mode_load
0,t1,pv,exp,value,0.0,primal,load,exp,value,2.750791331872413,primal
1,t2,pv,exp,value,0.0,primal,load,exp,value,2.668979790601412,primal
2,t3,pv,exp,value,0.0,primal,load,exp,value,2.593985877769662,primal
3,t4,pv,exp,value,0.0,primal,load,exp,value,2.4886778670562455,primal
4,t5,pv,exp,value,0.0,primal,load,exp,value,2.469564158753348,primal
5,t6,pv,exp,value,0.0,primal,load,exp,value,2.5129047966885802,primal
6,t7,pv,exp,value,0.0,primal,load,exp,value,2.5797419040662284,primal
7,t8,pv,exp,value,0.010825114265095019,primal,load,exp,value,2.7265644022400783,primal
8,t9,pv,exp,value,0.10223719028145298,primal,load,exp,value,2.886535183832481,primal
9,t10,pv,exp,value,0.2658166947317777,primal,load,exp,value,3.003043584124665,primal
10,t11,pv,exp,value,0.5701226846283378,primal,load,exp,value,3.0573411249086924,primal
11,t12,pv,exp,value,0.8215058936733222,primal,load,exp,value,3.054784514243974,primal
12,t13,pv,exp,value,0.9057012268462834,primal,load,exp,value,3.0014609203798392,primal
13,t14,pv,exp,value,0.8058696175126292,primal,load,exp,value,2.973581689797906,primal
14,t15,pv,exp,value,0.5641087322588405,primal,load,exp,value,2.981373265157049,primal
15,t16,pv,exp,value,0.2573971614144816,primal,load,exp,value,3.0843681519357196,primal
16,t17,pv,exp,value,0.02525859995188838,primal,load,exp,value,3.2701485269052837,primal
17,t18,pv,exp,value,0.0,primal,load,exp,value,3.4352325298271245,primal
18,t19,pv,exp,value,0.0,primal,load,exp,value,3.438154370586803,primal
19,t20,pv,exp,value,0.0,primal,load,exp,value,3.339298758217677,primal
20,t21,pv,exp,value,0.0,primal,load,exp,value,3.1656927197467737,primal
21,t22,pv,exp,value,0.0,primal,load,exp,value,2.9913562210859506,primal
22,t23,pv,exp,value,0.0,primal,load,exp,value,2.997565132700268,primal
23,t24,pv,exp,value,0.0,primal,load,exp,value,2.8067932797662527,primal
24,t25,pv,exp,value,0.0,primal,load,exp,value,2.7219381543705867,primal
25,t26,pv,exp,value,0.0,primal,load,exp,value,2.594838081324568,primal
26,t27,pv,exp,value,0.0,primal,load,exp,value,2.545045045045045,primal
27,t28,pv,exp,value,0.0,primal,load,exp,value,2.5221572924275626,primal
28,t29,pv,exp,value,0.0,primal,load,exp,value,2.6172388604821037,primal
29,t30,pv,exp,value,0.0,primal,load,exp,value,2.8995617238860483,primal
30,t31,pv,exp,value,0.0,primal,load,exp,value,3.2701485269052837,primal
31,t32,pv,exp,value,0.010825114265095019,primal,load,exp,value,3.6479181884587293,primal
32,t33,pv,exp,value,0.09622323791195572,primal,load,exp,value,3.8556123691258826,primal
